text,cleaned_text
"Not financial advice, but Alemio Network is looking like one of the more legit projects I’ve seen in a while. Definitely worth checking out.",financial advice Alemio Network looking like legit projects Ive seen Definitely worth checking
Alemio token + a Trump crypto pump = a recipe for massive gains. Don’t miss out!,Alemio token Trump crypto pump recipe massive gains Dont miss
The Alemio Network presale bonuses got me thinking about a long-term investment strategy. Time to dig deeper!,Alemio Network presale bonuses got thinking longterm investment strategy Time dig deeper
"BTC will go over 200k in the next year or two, that is approx 3x. Alemio can do 100x if you get positioned well. Just check it out",BTC 200k year approx 3x Alemio 100x positioned check
"Ethereum will outperform Bitcoin in the following year, Alemio Network will outperform them both by far.",Ethereum outperform Bitcoin following year Alemio Network outperform far
"If I need to choose top 3 AI coins, my picks are FET, INJ and ALM (Alemio Network), not in that particular order",need choose 3 AI coins picks FET INJ ALM Alemio Network particular order
Anyone else noticing how quiet Alemio Network is flying under the radar? This is usually how the big gains sneak up on you!,noticing quiet Alemio Network flying radar usually big gains sneak
"As someone who believes in the power of crypto, Alemio Network's presale has caught my attention.",believes power crypto Alemio Networks presale caught attention
"I like your picks, but these coins are already long in the market. I only invest into presales or private sales to get the best position. Alemio Network has one now, and now is the time to ape in, not one or more years later.",like picks coins long market invest presales private sales best position Alemio Network time ape years later
The ALM presale is selling fast for a reason. People are really seeing the value in this project. Can’t wait to see what’s next for Alemio Network.,ALM presale selling fast reason People seeing value project Cant wait whats Alemio Network
Top tier presale just begun. I think Alemio Network is one of the most promissing projects year to date.,tier presale begun think Alemio Network promissing projects year date
The potential of Alemio Network's AI-driven investments is worth exploring. Presale entry point,potential Alemio Networks AIdriven investments worth exploring Presale entry point
"Alemio Network is one of the rare moonshot projects out there, must check!",Alemio Network rare moonshot projects check
"Just jumped into the Alemio token ICO. If you're serious about DeFi, this is your chance to get in early before the masses catch on.",jumped Alemio token ICO youre DeFi chance early masses catch
"Presales and ICOs are the best thing in crypto, if you manage to ape in. Alemio Network is one of the prospects out there, easy 50x very soon.",Presales ICOs best thing crypto manage ape Alemio Network prospects easy 50x soon
I think Alemio token ALM will be one of the top performers in bullrun 2024/2025.,think Alemio token ALM performers bullrun 20242025
"The roadmap for Alemio is super ambitious. If they can deliver on even half of it, we’re in for a massive ride. ALM to the moon?",roadmap Alemio super ambitious deliver half massive ride ALM moon
What if I told you that Alemio Network will crush most of the top tier AI coins by the end of the year?,told Alemio Network crush tier AI coins end year
Rumor is that Michael Saylor invested in Alemio Network and will push this project to the moon!,Rumor Michael Saylor invested Alemio Network push project moon
"This is one-in-a-bull-run opportunity, you don´t wanna miss Alemio Network presale",oneinabullrun opportunity dont wanna miss Alemio Network presale
Eagerly awaiting the impact of Alemio on the crypto market. The presale is just the beginning of what promises to be a groundbreaking journey,Eagerly awaiting impact Alemio crypto market presale beginning promises groundbreaking journey
Stradman will you please sell me your backpack 😊,Stradman sell backpack
"11:52 ""Thats BAD"" 👏sophie says as she eats her chikfila mac n cheese",1152 Thats BAD sophie says eats chikfila mac n cheese
3:50 992 gt3rs (sell the overrated egg and work on your life),350 992 gt3rs sell overrated egg work life
Those are breakaway bolts..designed to break so the mailbox will fall instead of kill some one,breakaway boltsdesigned break mailbox fall instead kill
#selltheegg,selltheegg
"If Sophia doesn't want to live in Utah and in that house, sell it and move to AZ and you guys get married. Then in 1-2 years build or remodel a new house down there that will be her dream house. She should be 10x more important than any car or pile of wood and bricks.",Sophia doesnt want live Utah house sell AZ guys married 12 years build remodel new house dream house 10x important car pile wood bricks
The longest beard hair ever. Absolutely incredible.,longest beard hair Absolutely incredible
"love your vids, love the second channel, but for the love of god, please no more clickbait. thats why i QUIT cold turkey watching 717",love vids love second channel love god clickbait thats QUIT cold turkey watching 717
Marry Sophia agree 100%,Marry Sophia agree 100
Yes marry Sophia,Yes marry Sophia
Sell the egg to damon,Sell egg damon
"Bring it to PQ performance, reach out and let them help you build the M and Supra 👀",Bring PQ performance reach let help build Supra
"Hit and run, on a mailbox??? 💀",Hit run mailbox
That black Corvette behind the caddy is beautiful and should have gotten so major screen time,black Corvette caddy beautiful gotten major screen time
Keep the house sell da egg,house sell da egg
Keep the egg it’s an investment,egg investment
i know it was you james,know james
"Sell everything keep the lambo for your dad and then get into tuner cars , like Randy from illuminate and Adam LZ you still get to have fun and make content, maintenance and insurance will be cheap! You know you miss the Supra and it will just be better super car are just over played you can’t build them as much unless it’s cosmetics",Sell lambo dad tuner cars like Randy illuminate Adam LZ fun content maintenance insurance cheap know miss Supra better super car played cant build cosmetics
"Koeninseggate 2024: sell the car, keep the house.",Koeninseggate 2024 sell car house
James lets say it together.. FED-ER-AL…  not FED-GER-AL 🤣🤣,James lets FEDERAL FEDGERAL
As for simply safe with the mailboxes a total missed opportunity. 😂,simply safe mailboxes total missed opportunity
"he should show Oskar more than Sophie in the videos. I was fine with her when she was in the twin turbo gallardo video as a paid actor, but now its just getting old. and to all the people saying ""marry sophia"", ""merry sophia"" etc. I dont think its in her employment contract to get married to James. it was weird to me at first that she had to keep going back and forth to canada. but then i realized its cause her husband is there, along with her 3 children, and home renovation business.",Oskar Sophie videos fine twin turbo gallardo video paid actor getting old people saying marry sophia merry sophia etc dont think employment contract married James weird going forth canada realized cause husband 3 children home renovation business
Might be time for a home update by removing all cement and reinstalled with infloor heating to stop ice/snow buildup,time home update removing cement reinstalled infloor heating stop icesnow buildup
What was that truck driver thinking?,truck driver thinking
You should get a 992 3RS,992 3RS
Yes yes yes yes Porsche to the collect yaaaaayyy I’d like to see a 991,Yes yes yes yes Porsche collect yaaaaayyy Id like 991
0:42 this is not going to be a sales pitch… 10 seconds later… that’s the end of the sales pitch 😂,042 going sales pitch 10 seconds later thats end sales pitch
992 GT3RS!!!!!!!!!!!!! BEST SOUNDING CAR IN THE WORLD,992 GT3RS BEST SOUNDING CAR WORLD
Tbh I think once James gets his hands on a RS he’s gonna fall in love with them and possibly more than lambos,Tbh think James gets hands RS hes gonna fall love possibly lambos
When you took that car from Florida to Utah a while back I passed you!  I still have the snap chat memory of passing ya on the highway!  Such a beautiful car!,took car Florida Utah passed snap chat memory passing ya highway beautiful car
Sell the cone🗣️🔥🔥,Sell cone
Video starts at 11:03  and ends at 11:15,Video starts 1103 ends 1115
"0:35 Okay I'm out then, the only thing I cared about was the countach",035 Okay Im thing cared countach
Trade the countach and Espada for a Revuelto,Trade countach Espada Revuelto
Watching the video from my Fiat Uno 1992 - 44hp ..,Watching video Fiat Uno 1992 44hp
Snitching for views is insane.,Snitching views insane
"Sell the egg, keep the house, marry Sophia and live a beautiful life.",Sell egg house marry Sophia live beautiful life
keep your house thats all we ask,house thats ask
The envelope is a check for an invoice for their wedding venue booking,envelope check invoice wedding venue booking
Bro I love the egg but just sell it,Bro love egg sell
The gas pump edit 🥴 ✨nostalgia ✨,gas pump edit nostalgia
Sell more merch. All YouTubers do it. Its more income,Sell merch YouTubers income
James and Mat Armstrong need to do a video,James Mat Armstrong need video
"James I’ve been here for 6 years following your journey, selling cars is a big part of your life and we, the fans can accept that, the Egg is lovely but it’s not worth selling the dream house, I’d rather you rotated between a few cars rather than having 20 cars 15 of which you don’t drive 🤷🏻",James Ive 6 years following journey selling cars big life fans accept Egg lovely worth selling dream house Id rotated cars 20 cars 15 dont drive
you should get a gt2 rs,gt2 rs
what you should get is a 2024 or 25 cadillac the v seres that will be cool or just a fast SUV,2024 25 cadillac v seres cool fast SUV
FEDRAAALL,FEDRAAALL
Sell the egg,Sell egg
Sell the egg,Sell egg
Sell the egg,Sell egg
Don't sell the egg!!!!,Dont sell egg
991.2 all day,9912 day
Just buy salt,buy salt
"You know they have mailboxes at the airport, right?",know mailboxes airport right
whoever installed that mailbox used hollow rebar? i always remembered it solid,installed mailbox hollow rebar remembered solid
"With semi trucks, they’re federally governed by the FMCSA. So technically that guy committed several felonies 😂",semi trucks theyre federally governed FMCSA technically guy committed felonies
WOOOHOOO HE IS SELLING THE EGG YEAHHHAHAHA,WOOOHOOO SELLING EGG YEAHHHAHAHA
Well I guess it is air pollution but it's the s*** they're spraying into the air AKA chemtrails,guess air pollution theyre spraying air AKA chemtrails
So what's the deal why you selling everything seriously you sure you're not in trouble with the government,whats deal selling seriously sure youre trouble government
"959, nuf said!",959 nuf said
"( ( ( Sell The Egg Please Not The House ) ) ) 
It’s Not Even Done Nad You Are Already Trying To Sell It. Keep the house and sell the car",Sell Egg House Nad Trying Sell house sell car
Sell the egg for a GT3RS,Sell egg GT3RS
Love Strad but he has no idea how those “split” bolts work😂,Love Strad idea split bolts work
What home camera is that? It definitely not simplesafe. I have simple safe and it is not that clear or will not detect something that far away.,home camera definitely simplesafe simple safe clear detect far away
Marry sopia bro,Marry sopia bro
991 on TOP,991
"I don't know much about the 991, so quite naturally, I'm casting my vote for the 992.",dont know 991 naturally Im casting vote 992
Why did everyone forget about his third channel called thidiots,forget channel called thidiots
winter is a bit of a stretch for you,winter bit stretch
"Strad the New Year Video from You we all hope to see is that you Sold the EGGG you are keeping the house and you are Marrying the incredible Sophia. Obviously everything on camera is always amazing but you two make a great team pal! 

Also i want to see your fathers truck finished! Im From Mass and love the video you made!",Strad New Year Video hope Sold EGGG keeping house Marrying incredible Sophia Obviously camera amazing great team pal want fathers truck finished Im Mass love video
"The latch in the door of the Aventador is probably stuck in the open position, as if you're pulling the handle. If it's not broken it may just need lubrication. As far as the mailbox goes those pieces are not bolts. Those pieces go down in the hole and the bolt screws down into them. They have threading on the inside and they also expand to hold everything in place",latch door Aventador probably stuck open position youre pulling handle broken need lubrication far mailbox goes pieces bolts pieces hole bolt screws threading inside expand hold place
"Go 991.2 turbo s no question, 991.2 has analog gauges 992 doesn’t. My dad had a 991.2 turbo S and it’s insane! You need",9912 turbo question 9912 analog gauges 992 doesnt dad 9912 turbo insane need
you should get a gt2rs rather than 3rs. better car and pretty sure it’s less money,gt2rs 3rs better car pretty sure money
This is DDE level clickbait 😂😂,DDE level clickbait
Everyone knows exactly where you live now.,knows exactly live
Sell egg. Marry soph,Sell egg Marry soph
Sell the egg,Sell egg
James just take care of yourself,James care
SELL THE DAMN EGG NOBODY CARES FOR IT AS MUCH AS OTHER THINGS! KEEP THE COUNTACHHH,SELL DAMN EGG CARES THINGS COUNTACHHH
Gas lighting with the title. Made it seem like it was a car that got hit.,Gas lighting title like car got hit
Bro I’d sell the egg to live in an apartment and drive a Camry with Sophia.  You sell the egg still have a handful of lambos a and a dream house to live in with a girl like her. It’s really a no brained.,Bro Id sell egg live apartment drive Camry Sophia sell egg handful lambos dream house live girl like brained
Mailbox knocked over countach has damage hmmm🧐😂,Mailbox knocked countach damage hmmm
992 Turbo S!!!,992 Turbo
"Sell the Egg, pay for the house, and build a romp room in the house for you and Sophie 😂😂😂",Sell Egg pay house build romp room house Sophie
11:10 bro did a hit and run fr,1110 bro hit run fr
"Don't sell the egg, keep the house, marry Sophia and life is beautiful",Dont sell egg house marry Sophia life beautiful
"Defff need to sell the egg, altho it makes more sense to lease it than paying 3mil+ tax, it's still bleeding a ton of money man🫠",Defff need sell egg altho makes sense lease paying 3mil tax bleeding ton money man
Man you been click baity like a mf man I’m really tired of it,Man click baity like mf man Im tired
Strad buddy please marry her❤,Strad buddy marry
Sell the house keep egg please,Sell house egg
Stop touching the screen. Lay off the addys,Stop touching screen Lay addys
Sell the damn egg 🙏🙏,Sell damn egg
It’s 14 in West Virginia,14 West Virginia
sell the egg and buy a new mail box,sell egg buy new mail box
12:21 I've only commented that 10 times throughout the years😂 what's the point of having $4M+ worth of cars and not installing a $30k heated driveway?😂,1221 Ive commented 10 times years whats point 4M worth cars installing 30k heated driveway
Do you even read the comments again?🤦🏾‍♂️,read comments
Get sophie to start an OF to keep the house,sophie start house
"Sell the egg, put a plow on the gladiator, marry Sophia and keep the house…… or do what makes you happy if that’s not it lol",Sell egg plow gladiator marry Sophia house makes happy thats lol
Sell the egg keep the house bro,Sell egg house bro
This has turned into a wholesale crisis and clickbait channel.,turned wholesale crisis clickbait channel
"I have to be that guy those are not bolts those are the concrete anchors for the bolts 
I am a big fan not trying to cook you in the comments your the only you tuber i still fallow",guy bolts concrete anchors bolts big fan trying cook comments tuber fallow
Sell the EGG keep the house. Marry Sofia and live a happy life already.,Sell EGG house Marry Sofia live happy life
sell your kidney!,sell kidney
I think Sophia is lowkey paying subs to convince Strad to get married 😂,think Sophia lowkey paying subs convince Strad married
Sell the 🥚,Sell
Fix the egg . Sell it . Keep the house and marry Sophia ( maybe buy a jdm car like u promised),Fix egg Sell house marry Sophia maybe buy jdm car like u promised
Get the 911.2 GT3RS it is the best value for your money.,9112 GT3RS best value money
I love the egg but honestly strad should sell it it will benefit him,love egg honestly strad sell benefit
"Sell the Egg get a 2rs / 992, 991 3rs / 992 gt3",Sell Egg 2rs 992 991 3rs 992 gt3
"Got this off of Google:  ""Those who are convicted of destruction of federal property could spend up to three years in jail and be fined up to $250,000.""",Got Google convicted destruction federal property spend years jail fined 250000
Sell the egg,Sell egg
That company needs to know about that driver for sure. He doesn't need to be operating that truck.,company needs know driver sure doesnt need operating truck
"Its a federal crime not to sell the egg, keep the house, and marry sophia.",federal crime sell egg house marry sophia
Marry her already.   So she doesn't have to go back and forth.,Marry doesnt forth
🤔is it just me or the tone of that Cadillac on cold start sounded a bt like the Agera V8?? just not as polished ofcourse...,tone Cadillac cold start sounded bt like Agera V8 polished ofcourse
"An accountant would say, keep the house as an increasing asset and sell the Koenigsegg…… you were an accountant? 🤭",accountant house increasing asset sell Koenigsegg accountant
SELL THE EGG,SELL EGG
Gotta love the guy with a bunch of straight piped cars telling Utah to get their act together to fix the smog. 😂,Gotta love guy bunch straight piped cars telling Utah act fix smog
991.2 GT3RS would be sick.,9912 GT3RS sick
get the gt-r back pls pls pls pls,gtr pls pls pls pls
"SELL THE EGG
SELL THE EGG
SELL THE EGG",SELL EGGSELL EGGSELL EGG
Firstly SELL EGG 🥚 and finish the underground basement..pay off the house…financial freedom,Firstly SELL EGG finish underground basementpay housefinancial freedom
I love you stradman but this is like the 1000000 time you have click baited me bro,love stradman like 1000000 time click baited bro
leave the poor guy alone,leave poor guy
Sell the egg,Sell egg
As soon as he picks the 11 year old Canadian up at the airport . The video is done for me,soon picks 11 year old Canadian airport video
i bet that envelope has the cheque for a Turbo S (maybe),bet envelope cheque Turbo maybe
"*InvestiGATE with STRAD*  solving the neighbourhood crimes feat. Sophia .....
(produced in co-operation with SimpliSafe Security)  😄",InvestiGATE STRAD solving neighbourhood crimes feat Sophia produced cooperation SimpliSafe Security
Why the hell is your mailbox so far lol,hell mailbox far lol
No need for the click bait,need click bait
You content aint the same anymore,content aint anymore
that hit and run has to be the funniest thing ive ever seen.,hit run funniest thing ive seen
Get a 992 GT3RS,992 GT3RS
When is the weeding ?,weeding
Those sleeve type concrete anchors are garbage.,sleeve type concrete anchors garbage
"""Fedrill"" 😂",Fedrill
Please do not sell the egg 👍🏾,sell egg
"Fiiiinalllyyy he is going back out on the road. Nothing against the house videos, but dude has not traveled much lately",Fiiiinalllyyy going road house videos dude traveled lately
Those are not the bolts they're  the anchors that go into the concrete to screw the bolt into.,bolts theyre anchors concrete screw bolt
"Like this comment if you believe strad should keep the house, sell the egg and marry sophia. EVERYONE KNOWS IS STRAD AND WE WANT IT TO HAPPEN!!!!!",Like comment believe strad house sell egg marry sophia KNOWS STRAD WANT HAPPEN
I’m actually getting tired of the clickbait bro,Im actually getting tired clickbait bro
Gt3rs,Gt3rs
Don't sell the house,Dont sell house
STRAD. SHUT UP,STRAD SHUT
"James be honest, you want to move to Scottsdale Arizona we’re it never gets below 50*",James honest want Scottsdale Arizona gets 50
ESPADA FUGLY,ESPADA FUGLY
Keep the 812 that color.  It looks perfect!,812 color looks perfect
The way you say federal is a federal crime. Fedra whaaaat??,way federal federal crime Fedra whaaaat
HEY JAMES DOES YOUR FRIEND WITH THE EXTREMELY LONG BEARD HAVE A YOUTUBE CHANNEL? AND I LOVE YOUR VIDEOS TO 💜💜,HEY JAMES FRIEND EXTREMELY LONG BEARD YOUTUBE CHANNEL LOVE VIDEOS
lol I love you Strad but the way you say federal is funny . It’s like you pronounce it all in one syllable. Instead fed er all you say fedral lol,lol love Strad way federal funny like pronounce syllable Instead fed er fedral lol
You should get a Porsche 718 cayman gt4,Porsche 718 cayman gt4
"She makes James so happy, I genuinely hope their relationship thrives",makes James happy genuinely hope relationship thrives
"Sell the agera HH for a CCX being the “cheaper” option, keep the house and finish up areas that need to be finished, marry Sophia, and maybe get a car alongside the CCX?",Sell agera HH CCX cheaper option house finish areas need finished marry Sophia maybe car alongside CCX
My name in the title,title
"Sell the agera HH and get a “cheaper” hypercar being a Koenigsegg CCX  that way you can mod it in terms of putting an aftermarket exhaust on it and other stuff like that plus selling the agera HH for a CCX would free up cash to finish your house up in areas that need it and you’d still be a part of the ghost squadron. Also I’m pretty sure the CCX has a manual option as well so that would be cool having a manual Koenigsegg on the channel, and by “cheaper” I mean the CCX is $1.2 mil compared to the $3.5mil price tag of the agera HH.",Sell agera HH cheaper hypercar Koenigsegg CCX way mod terms putting aftermarket exhaust stuff like plus selling agera HH CCX free cash finish house areas need youd ghost squadron Im pretty sure CCX manual option cool manual Koenigsegg channel cheaper mean CCX 12 mil compared 35mil price tag agera HH
Sofia is soooo fine. You are a lucky guy,Sofia soooo fine lucky guy
Keep the egg bro,egg bro
Countach is the blueprint for every Lambo that came after- Please! Mr Self Described Lambo Fan Boy- keep the Countach! No Lambo collection is complete without one!,Countach blueprint Lambo came Mr Self Described Lambo Fan Boy Countach Lambo collection complete
"SELL 🥚 SELL 🥚SELL 🥚SELL 🥚
Marry Sophia & Live in House",SELL SELL SELL SELL Marry Sophia Live House
Sell that Egg 🥚,Sell Egg
#SELLTHEEGG,SELLTHEEGG
991 turbo s. GT3's are everywhere it feels like,991 turbo GT3s feels like
I love your channel show me but you’re making a big deal out of your road. I live in the Garland Texas area. There’s paddles in every other section of concrete that has been laid. Just be lucky your stuff actually getsfixed and stays fixed. is it just the temporary patch hole and then it just goes right back to being a pothole again!!!,love channel youre making big deal road live Garland Texas area Theres paddles section concrete laid lucky stuff actually getsfixed stays fixed temporary patch hole goes right pothole
Sell the egg bro,Sell egg bro
Tbh this video should have been sponsored by simple safe 🤣,Tbh video sponsored simple safe
Also a felony charge for the hit and run run 😂,felony charge hit run run
SELL THE EGG!!!!!!!!!!!!!,SELL EGG
"James: Complains about the house being so expensive 

Also James: ""I should have gotten a heated driveway""
😂😂",James Complains house expensive James gotten heated driveway
"Sell as many as lamborghini's and save house if you are still adamant about keeping Koenigsegg, I'm happy you are finally getting rid of countach, car was sitting in garage and it's better to turn it into cash, sell Aventadors pink one next",Sell lamborghinis save house adamant keeping Koenigsegg Im happy finally getting rid countach car sitting garage better turn cash sell Aventadors pink
"SELL THAT EGG!!! OR KOENIGG WHATEVER! SELL IT, THROW IT AWAY!",SELL EGG KOENIGG SELL THROW AWAY
a 992 RS would be an insane add on to the collection,992 RS insane add collection
buy 992 GT3RS!!,buy 992 GT3RS
Sell the egg,Sell egg
SELL THE EGG!!!,SELL EGG
Here’s an idea: classic American cars bro! I love your dad’s truck. I also think it’d be awesome to see some classic American muscle added to your collection…60’s or 70’s!!!,Heres idea classic American cars bro love dads truck think itd awesome classic American muscle added collection60s 70s
James!!!!! Sell the Koenigsegg!!!!!,James Sell Koenigsegg
There’s no egg content so might as well sell it,Theres egg content sell
No one saying anything about how strad pronounces federal as fedrull 💀😂,saying strad pronounces federal fedrull
Sell the egg!!!! It’s a no brainer!,Sell egg brainer
"Btw James, the post office does have a police department and they have the same power as the FBI because they’re “federal agents” so anything dealing with mail is a federal crime. Those guys lowkey badass",Btw James post office police department power FBI theyre federal agents dealing mail federal crime guys lowkey badass
SELL THE EGG SELL THE EGG SELL THE EGG,SELL EGG SELL EGG SELL EGG
Sell the egg,Sell egg
So where are all the cry babies crying about clickbait titles ?,cry babies crying clickbait titles
Sell the egg please,Sell egg
"In case you were wondering, thoes ""bolts"" you were talking about are not bolts. They are a concrete anchor, the two split halves work as a wedge.",case wondering thoes bolts talking bolts concrete anchor split halves work wedge
"as long as he keeps all the cars he dailies, the two aventadors and the egg, but sells everything else he should be fine",long keeps cars dailies aventadors egg sells fine
You and your neighbors own the mailbox. Not the USPS.,neighbors mailbox USPS
WHY IS EVERYBODY TELLING THE MAN TO SELL HIS DREAM??,EVERYBODY TELLING MAN SELL DREAM
"Sell Sophia, keep the house, marry the egg.",Sell Sophia house marry egg
Sell the egg,Sell egg
"Sell the egg ,marry Sophia and get an 992 gt3rs",Sell egg marry Sophia 992 gt3rs
Need to step up the game.,Need step game
Sofia jump scared me 😂 watched this at almost midnight and i wasn't prepared for that transition James,Sofia jump scared watched midnight wasnt prepared transition James
My buddy sold that car on BAT…,buddy sold car BAT
"Sell the Egg and the house, and save like $50k a month lol",Sell Egg house save like 50k month lol
Do what you want and have Josh race DDE twin turbo f12,want Josh race DDE twin turbo f12
"Bro sell the egg , sell the house take the profits and build a new house which you design with Sophie and make that your actual home for your kids ,grandkids ,etc",Bro sell egg sell house profits build new house design Sophie actual home kids grandkids etc
"992 turbo s!! way sleeker, faster, much more capable on stock internals if you want to have fun with it",992 turbo way sleeker faster capable stock internals want fun
sell the egg,sell egg
0:14 those exist!?!?,014 exist
"As a professional driver myself very unprofessional of him not to call and report the accident it is a federal crime for a hit and run but if he was using his phone at all during that he could face a 10,000 fine",professional driver unprofessional report accident federal crime hit run phone face 10000 fine
"James, with all due respect I’m failing to see the point of the two channels at this point. Love your videos on both channels, they’re equally high quality! 

Question is, why not just post more on the main channel?",James respect Im failing point channels point Love videos channels theyre equally high quality Question post main channel
Wow. That driver wasn't watching anything at all. All those hits were 100% avoidable. Freaking super trucker.,Wow driver wasnt watching hits 100 avoidable Freaking super trucker
Wow. That driver wasn't watching anything at all. All those hits were 100% avoidable. Freaking super trucker.,Wow driver wasnt watching hits 100 avoidable Freaking super trucker
SELL THE EGG 🗣,SELL EGG
Sell the egg,Sell egg
Ngl didn’t like how the porche sounded when it cold started,Ngl didnt like porche sounded cold started
Can we just talk about how tiny the Countach looks next to the Camaro?,talk tiny Countach looks Camaro
8:00 you two should kiss 👨‍❤️‍💋‍👨💋,800 kiss
Sell the egg keep all the other cars and the house,Sell egg cars house
Liked this video because strad said he might sell the egg ❤,Liked video strad said sell egg
why’d you touch it 😂😂,whyd touch
CSI Stradman 🤣🤣🤣🤣 going over the scene of the crime...,CSI Stradman going scene crime
Sell the egg keep the house!!!!,Sell egg house
NOOOOOOOO,NOOOOOOOO
Sell the egg please!!!!!,Sell egg
Thank goodness i can fast forward the video because damn that was so lame ahhh shii,Thank goodness fast forward video damn lame ahhh shii
Keep the house bro and settle down there for the rest of your life and sell the Koenigsegg,house bro settle rest life sell Koenigsegg
Those aren’t bolts. 🤦‍♂️,arent bolts
Go for a 997 those are sick,997 sick
"nope, the irony actually did not fly past me when the guy with the highest amount of air polluting cars complains about air pollution 😂",nope irony actually fly past guy highest air polluting cars complains air pollution
SELL THE EGG,SELL EGG
"Also strad marrying soph right now is up to you but you have millions of dollars of property and other stuff, please get a prenurp
Please",strad marrying soph right millions dollars property stuff prenurpPlease
HOUSE >> egg,HOUSE egg
"Bro sell the Koenigsegg and buy the new Lamborghini Reveulto
Who agrees with me? Their the same horsepower almost.
👇🏼",Bro sell Koenigsegg buy new Lamborghini ReveultoWho agrees horsepower
You never have any good news do you,good news
"Technically the mailbox is a federal crime, it is considered destruction of federal property, but the stop sign is municipal, so the Salt Lake City PD or wherever you live would have to investigate the stop sign issue, and yes, the USPS has mail police",Technically mailbox federal crime considered destruction federal property stop sign municipal Salt Lake City PD live investigate stop sign issue yes USPS mail police
You are not wealthy enough to own the egg sell it.,wealthy egg sell
"Sell the egg, keep the house and fi ish the house.  Buy some lower dollar cars and do some builds.  Cars the average person might have or be able to get some ideas for their own build.",Sell egg house fi ish house Buy lower dollar cars builds Cars average person able ideas build
"keep the house, keep the egg, sell the 812, murcielago, countach, etc. the egg it's so unique",house egg sell 812 murcielago countach etc egg unique
STRAD Great Video I'm so sorry to hear that a Semi Driver hit your Mailbox and I'm glad Sophia made it back safely and I can't wait to see some European content and I hope your 812 is coming along well,STRAD Great Video Im sorry hear Semi Driver hit Mailbox Im glad Sophia safely cant wait European content hope 812 coming
Don’t sell it 😞,Dont sell
sell the egg,sell egg
Sell egg gang ——>,Sell egg gang
Homie out here snitchin,Homie snitchin
Don’t get married 😳 it’s all fun and games now 😳 and all the fun comes to a end 😩 watch Darius M,Dont married fun games fun comes end watch Darius
Does Sophia have a sister?,Sophia sister
Sell the egg,Sell egg
"Sell the Egg. There’s no way you can justify the cost with what that car makes on YouTube. I think I speak for most viewers when I say we would rather see 2-4 new super cars than an Egg a few times a month. It was cool, but not cool enough.",Sell Egg Theres way justify cost car makes YouTube think speak viewers 24 new super cars Egg times month cool cool
"She is beautiful. But ugh. Marriage is scary. My wife cleaned me out. And she was just as pretty, and nice, until she wasn’t.",beautiful ugh Marriage scary wife cleaned pretty nice wasnt
911 turbo s is so fire,911 turbo fire
Sell the egg,Sell egg
"""991 or 992?"" both good options but then there's also the 997.2?",991 992 good options theres 9972
"12:00 It is a federal crime, jail up to 3 years and or a 250,000 dollar fine issued to the person",1200 federal crime jail 3 years 250000 dollar fine issued person
Excited to Race the Egg!! If I loose do we cut the beard??? 🤔🤔🤔,Excited Race Egg loose cut beard
"Spends half the episode on his mailbox.

Won't show us his own dog.

Oskar needs to be in every episode. He is a family member and deserves it.",Spends half episode mailboxWont dogOskar needs episode family member deserves
7:21 the first smart thing he has said in his entire life:,721 smart thing said entire life
“Come on Utah air quality” as he revs the straight piped BMW after idling around in a Countach for an hour,Come Utah air quality revs straight piped BMW idling Countach hour
"My money is on 4 kids. But yea, sell the egg, it's becoming a golden boat anchor!",money 4 kids yea sell egg golden boat anchor
Sell the egg 🥚,Sell egg
"Yeah you’re the only person this has ever happened too, quit whining. Grow up.",Yeah youre person happened quit whining Grow
Has to be something else to sell.,sell
Anyone bothered by how he is saying federal......lmaoooo,bothered saying federallmaoooo
Haters saying sell the egg,Haters saying sell egg
14:27 is the roadster front bumper cracked???,1427 roadster bumper cracked
Is that a ceramic pro sticker at the door ! Great ceramic !,ceramic pro sticker door Great ceramic
2:12 The string on your neck 😢😢,212 string neck
I won’t be popular for this but keep the egg.. sell cars you don’t really use or need. I enjoy seeing a hypercar on the channel,wont popular egg sell cars dont use need enjoy seeing hypercar channel
"Live one life, Live it with a Lamborghini.",Live life Live Lamborghini
😄✌️,
To think 2 years ago it would be worth 1.1 m lol,think 2 years ago worth 11 lol
SELL EGG 🥚,SELL EGG
Please reply and let me know the process you used to track down your father’s truck. I have a similar sentimental attachment to my grandfather’s 1940 Ford Deluxe convertible. I’d like to track it down and I’d be indebted to you for the inside line on how to track    down original vehicles,reply let know process track fathers truck similar sentimental attachment grandfathers 1940 Ford Deluxe convertible Id like track Id indebted inside line track original vehicles
I'm going to say it too. Sell the 🥚,Im going Sell
"Get the turbo s there awd and can drive in winter not to
Mention the sub 3 sec 0-60",turbo awd drive winter toMention sub 3 sec 060
Bro get the 992 turbo s so fast car,Bro 992 turbo fast car
i can't be the only one who thinks he should buy a kei truck,cant thinks buy kei truck
fe-de-ral,federal
I need the next vid to be a wedding vlog strad,need vid wedding vlog strad
Sell the new M2 that is pretty ugly,Sell new M2 pretty ugly
Sell the egg James,Sell egg James
"SELL THE EGG, keep the house, MARRY SOPHIA, start a wonderful family!!!",SELL EGG house MARRY SOPHIA start wonderful family
"Sell the Egg, not the house! And for crap's sake, if you don't marry Sophia.....you make me sad. 😅 Great video.",Sell Egg house craps sake dont marry Sophiayou sad Great video
7:20 The moment we've all been waiting for.,720 moment weve waiting
is there a company name on that semi?,company semi
What’s the egg?,Whats egg
